"Name","Article_Number","Origin","Category","Brand","Alcohol","Price","Volume","PackagingType","Manufacturer","New_Year","Region","District","Grapes"
"Conte di Matàrocco EKO","2539514","Italien","vin","Cantine Paolini","12,00","73,90","0,75","","Cantine Paolini","2015","Sicilien","","Grillo 100%"
"Clos de l´Oratoire des Papes Châteauneuf-du-Pape Rouge","2516314","Frankrike","vin","Ogier","14,50","311,00","0,75","","Ogier","2013","Rhône","AOC Châteauneuf-du-Pape","Grenache 80%, Syrah 8%, Mourvèdre 7%, Cinsault 5%"
"Muscat de Beaumes de Venise","2516221","Frankrike","vin","Ogier","15,00","93,30","0,38","","Ogier","2013","Rhône","AOP Beaumes-de-Venise","Muscat à Petits Grains 100%"
"Artesis Côtes du Rhône Blanc","2577814","Frankrike","vin","Ogier","12,50","105,00","0,75","","Ogier","2018","Rhône","AOP Côtes du Rhône","Grenache blanc 30%, Clairette 20%,Bourboulenc 20%, Viognier 20%, Marsanne 10%."
"Artesis Côtes du Rhône rouge","2561314","Frankrike","vin","Ogier","14,50","105,00","0,75","","Ogier","2017","Rhône","AOP Côtes du Rhône","Grenache 60%, Syrah 35%, Mourvèdre 5%"
"Rasteau Hélianthe","2561214","Frankrike","vin","Ogier","14,50","135,00","0,75","","Ogier","2017","Rhône","AOP Rasteau","Grenache 74%, Syrah 10%, Mourvèdre 8%, Carignan 8%"
"Clos de l´Oratoire des Papes Châteauneuf-du-Pape Blanc","2526124","Frankrike","vin","Ogier","13,50","311,00","0,75","","Ogier","2014","Rhône","AOC Châteauneuf-du-Pape","Grenache 30%, Clairette 30%, Roussanne 30%, Bourboulenc 10%, vinstockarna är 25 år."
"Notre Dame de Cousignac Côtes du Vivarais blanc EKO","2565814","Frankrike","vin","Ogier","12,50","97,90","0,75","","Ogier","2018","Rhône","AOP Côtes du Vivarais","Clairette blanche 33%, Marsanne 34%, Grenache 33%"
"Lirac les Chenaies","2516514","Frankrike","vin","Ogier","14,50","104,00","0,75","","Ogier","2013","Rhône","AOC Lirac","Grenache 60%, Syrah 25%, Mourvèdre 10%, Cinsault 5%"
"Gigondas Dentellis","2516614","Frankrike","vin","Ogier","14,50","172,00","0,75","","Ogier","2013","Rhône","AOP Gigondas","Grenache 70%, Syrah 20%, Mourvèdre 10%"
"Reine Jeanne Châteauneuf du Pape Rouge","2521714","Frankrike","vin","Ogier","15,00","211,00","0,75","","Ogier","2013:2","Rhône","AOP Châteauneuf-du-Pape","Grenache 70%, Syrah 25%, Mourvèdre 5%"
"Notre Dame de Cousignac Côtes du Rhône Villages EKO","2542914","Frankrike","vin","Domaine Notre Dame de Cousignac","15,00","111,00","0,75","","Domaine Notre Dame de Cousignac","2016","Rhône","AOP Côtes du Rhône Villages","Grenache 70%, Syrah 25%, Carignan 5%"
"Notre Dame de Cousignac Ventoux EKO","2523914","Frankrike","vin","Domaine Notre Dame de Cousignac","13,50","78,90","0,75","","Domaine Notre Dame de Cousignac","2013:2","Rhône","AOP Ventoux","Grenache Noir 70%, Syrah 30%"
"Mormoreto Toscana IGT","2512724","Italien","vin","Castello di Nipozzano","14,00","488,00","0,75","","Castello di Nipozzano","2012","Toscana","","Cabernet Sauvignon 60% Merlot 25%, Cabernet Franc 12% och Petit Verdot 3%."
"Notre Dame de Cousignac Côtes du Rhône Blanc EKO","2521814","Frankrike","vin","Domaine Notre Dame de Cousignac","13,00","88,90","0,75","","Domaine Notre Dame de Cousignac","2013:2","Rhône","AOP Côtes du Rhône","Grenache blanc 45%, Clairette 30%, Marsanne 25%,"
"Nipozzano Riserva Chianti Rufina DOCG","2504811","Italien","vin","Castello di Nipozzano","13,00","74,90","0,38","","Castello di Nipozzano","2009","Toscana","","Sangiovese 90% och kompletterande druvor 10% dvs Malvasia Nera, Colorino, Merlot och Cabernet Sauvignon"
"Barbera d'Alba Santo Stefano","2575514","Italien","vin","Castello di Neive","15,00","141,00","0,75","","Castello di Neive","","Piemonte","Neive","Barbera 100%"
"Barbaresco Santo Stefano","2556924","Italien","vin","Castello di Neive","14,50","366,00","0,75","","Castello di Neive","2017","Piemonte","Neive","Nebbiolo 100%"
"Barbaresco Santo Stefano","2556914","Italien","vin","Castello di Neive","14,50","366,00","0,75","","Castello di Neive","2017","Piemonte","Neive","Nebbiolo 100%"
"Montesodi Toscana IGT","2494524","Italien","vin","Castello di Nipozzano","14,50","344,50","0,75","","Castello di Nipozzano","2009","Toscana","","Sangiovese 100%"
"Kivik Ekologisk Äppelcider","2724811","","cider","Kiviks Musteri","4,50","19,80","0,33","","Kiviks Musteri","2016","","",""
"Murphy’s Irish Stout 4,0","2150723","Irland","öl","Murphy's Brewery","3,50","16,56","0,50","","Murphy's Brewery","","","",""
"Murphy’s Irish Stout 4,0","2104991","Irland","öl","Murphy's Brewery","4,00","1589,16","30,00","","Murphy's Brewery","","","",""
"Château Patache d’Aux","2542714","Frankrike","vin","Maison Antoine Moueix","13,00","163,00","0,75","","Maison Antoine Moueix","2016","Bordeaux","AOP Médoc Cru Bourgeois","Cabernet Sauvignon 60%, Merlot 30%, Cabernet Franc 7%, Petit Verdot 3%"
"Château Capet-Guillier Saint Emilion Grand Cru","2521424","Frankrike","vin","Maison Antoine Moueix","13,50","322,00","0,75","","Maison Antoine Moueix","2013:2","Bordeaux","AOP Saint Emilion Grand Cru","Merlot 100%"
"Murphy’s Irish Red 5,0","2105091","Irland","öl","Murphy's Brewery","5,00","1596,58","30,00","","Murphy's Brewery","","","",""
"Château Grand Renom Bordeaux Supérieur","2521314","Frankrike","vin","Maison Antoine Moueix","14,00","118,00","0,75","","Maison Antoine Moueix","2013:2","Bordeaux","AOP Bordeaux Supérieur","Merlot 85 %, Cabernet Franc. 15 %"
"Château Grand Montet Rouge","2537514","Frankrike","vin","Maison Antoine Moueix","13,00","74,40","0,75","","Maison Antoine Moueix","2015","Bordeaux","AOP Bordeaux","Merlot 90%, Cabernet Sauvignon 10%"
"Château Lafond Canon-Fronsac","2526914","Frankrike","vin","Maison Antoine Moueix","14,00","120,00","0,75","","Maison Antoine Moueix","2014","Bordeaux","AOC Canon Fronsac","Merlot 70%, Cabernet Sauvignon 30%"
"Birra Moretti Toscana 5,5","2176312","Italien","öl","Birra Moretti","5,50","27,02","0,50","","Birra Moretti","2017","","",""
"Birra Moretti 4,6","2191712","Italien","öl","Birra Moretti","4,60","33,52","0,66","","Birra Moretti","2010","","",""
"Birra Moretti Zero Alkoholfri 0,05","2181111","Italien","öl","Birra Moretti","0,05","10,24","0,33","","Birra Moretti","2015","","",""
"Birra Moretti 4,6","2143311","Italien","öl","Birra Moretti","4,60","17,52","0,33","","Birra Moretti","2010","","",""
"Birra Moretti 4,6","1143391","Italien","öl","Birra Moretti","4,60","1479,19","30,00","","Birra Moretti","2010","","",""
"Domaine Louis Moreau Chablis","2525516","Frankrike","vin","Domaine Louis Moreau","12,50","292,00","1,50","","Domaine Louis Moreau","","Bourgogne","AOC Chablis","Chardonnay 100%"
"Domaine Louis Moreau Chablis 1er Cru Les Fourneaux","2510814","Frankrike","vin","Domaine Louis Moreau","12,50","182,00","0,75","","Domaine Louis Moreau","2013","Bourgogne","AOC Chablis 1er Cru","Chardonnay 100%"
"Domaine Louis Moreau Petit Chablis","2502714","Frankrike","vin","Domaine Louis Moreau","12,00","131,00","0,75","","Domaine Louis Moreau","2010","Bourgogne","AOC Petit Chablis","Chardonnay 100%"
"Domaine Louis Moreau Chablis Grand Cru Vaudésir","2464824","Frankrike","vin","Domaine Louis Moreau","13,00","363,00","0,75","","Domaine Louis Moreau","","Bourgogne","AOC Chablis Grand Cru","Chardonnay 100%"
"Domaine Louis Moreau Chablis","2413414","Frankrike","vin","Domaine Louis Moreau","12,50","146,00","0,75","","Domaine Louis Moreau","","Bourgogne","AOC Chablis","Chardonnay 100%"
"Domaine Louis Moreau Chablis 1er Cru Vaulignot","2413314","Frankrike","vin","Domaine Louis Moreau","12,50","182,00","0,75","","Domaine Louis Moreau","","Bourgogne","AOC Chablis 1er Cru","Chardonnay 100%"
"Duvel  8,5","2136711","Belgien","öl","Moortgat Brouwerij","8,50","25,74","0,33","","Moortgat Brouwerij","","","",""
"Jules Lebègue Bordeaux blanc","2549014","Frankrike","vin","Maison Antoine Moueix","12,00","73,90","0,75","","Maison Antoine Moueix","2017","Bordeaux","AOP Bordeaux","Sauvignon blanc 80 %, Sémillon 20 %"
"Blue Moon","2102291","USA","öl","Blue Moon Brewing Company","5,40","1669,00","30,00","","Blue Moon Brewing Company","2018","","",""
"Blue Moon","2102211","USA","öl","Blue Moon Brewing Company","5,40","19,69","0,33","","Blue Moon Brewing Company","2018","","",""
"Sol 4,5","2133011","Mexiko","öl","Cerveceria Cuauhtémoc Moctezuma","4,50","19,31","0,33","","Cerveceria Cuauhtémoc Moctezuma","","","",""
"Bach Brut","2540214","Spanien","vin","Masía Bach","11,50","68,90","0,75","","Masía Bach","2015","Katalonien","DO Cava","Macabeo, Xarel-lo, Parellada"
"Miller Genuine Draft 4,7%","2102111","USA","öl","Miller Brewing Company","4,70","17,88","0,33","","Miller Brewing Company","2018","","",""
"Jules Lebègue Bordeaux rouge EKO","2548914","Frankrike","vin","Maison Antoine Moueix","13,00","80,90","0,75","","Maison Antoine Moueix","2017","Bordeaux","AOP Bordeaux","Merlot 100%"
"Rosé de La Chevalière","2548414","Frankrike","vin","Mas La Chevalière","12,50","83,90","0,75","","Mas La Chevalière","2016","Languedoc","IGP Pays d´Oc","Syrah 70%, Grenache 30%"
"Máximo Viura","2512414","Spanien","vin","Bodegas Máximo","12,00","62,90","0,75","","Bodegas Máximo","2012","Kastilien-León","VdlT de Castillia","Viura 100%"
"Martín Códax Albariño","2546714","Spanien","vin","Martín Códax","12,50","112,00","0,75","","Martín Códax","2016","Galicien","DO Rías Baixas","Albariño 100%"
"Martín Códax Lías","2546614","Spanien","vin","Martín Códax","13,00","146,00","0,75","","Martín Códax","2016","Galicien","DO Rías Baixas","Albariño 100%"
"Burgáns Albariño","2509214","Spanien","vin","Martín Códax","12,50","103,00","0,75","","Martín Códax","2011","Galicien","DO Rías Baixas","Albariño 100%"
"La Croix Chevalière","2547914","Frankrike","vin","Mas La Chevalière","14,50","173,30","0,75","","Mas La Chevalière","2016","Languedoc","","Syrah 80%, Grenache 20%"
"Louis M Martini Napa Valley Cabernet Sauvignon","2555616","USA","vin","Louis M Martini","15,10","606,00","1,50","","Louis M Martini","2011","Kalifornien","Napa Valley","Cabernet Sauvignon 100%"
"LEO Martin Mencía","2515314","Spanien","vin","Martín Códax","13,50","79,90","0,75","","Martín Códax","2013","","DO Bierzo","Mencía 100%"
"Louis M Martini Alexander Valley Cabernet Sauvignon","2554824","USA","vin","Louis M Martini","15,00","243,00","0,75","","Louis M Martini","2017","Alexander Valley","","Cabernet Sauvignon 97%, Petite Sirah 2%, Zinfandel 1 %"
"Louis M Martini Alexander Valley Cabernet Sauvignon","2567224","USA","vin","Louis M Martini","14,50","240,00","0,75","","Louis M Martini","2017","Alexander Valley","","Cabernet Sauvignon 97%, Petite Sirah 2%, Zinfandel 1 %"
"Louis M Martini Sonoma County Cabernet Sauvignon","2513014","USA","vin","Louis M Martini","13,50","111,00","0,75","","Louis M Martini","","Kalifornien","Sonoma County","Cabernet Sauvignon 83%, Petite Sirah 7%, Malbec 4%, andra druvor 3%"
"Alìe Rosé Toscana IGT","2569614","Italien","vin","Marchesi de’ Frescobaldi","12,50","125,00","0,75","","Marchesi de’ Frescobaldi","2018","Toscana","Toscana IGT","Syrah 70%, Vermentino 30%"
"Louis M Martini Napa Valley Cabernet Sauvignon","2564324","USA","vin","Louis M Martini","15,50","230,00","0,75","","Louis M Martini","2011","Kalifornien","Napa Valley","Cabernet Sauvignon 100%"
"La Marca Prosecco Blue Label","2558714","Italien","vin","La Marca","11,00","94,90","0,75","","La Marca","2017","Veneto","","Glera 100%"
"Froggy B Vodka Organic","2728323","Frankrike","sprit","Maison Ferrand","40,00","239,00","0,70","","Maison Ferrand","2017","","",""
"Mara Martin Godello","2512314","Spanien","vin","Martín Códax","13,50","85,00","0,75","","Martín Códax","2012","Galicien","DO Monterrei","Godello"
"Louis M. Martini Monte Rosso Cabernet Sauvignon","2552014","USA","vin","Louis M Martini","15,50","567,00","0,75","","Louis M Martini","","Kalifornien","","Cabernet Sauvignon 93%, Petit Verdot  7%"
"Muscat de Rivesaltes EKO","2570421","Frankrike","vin","Maison Cazes","15,00","93,90","0,38","","Maison Cazes","2018","Languedoc-Roussillon","AOP Muscat de Rivesaltes","Muscat d’Alexandrie 70%, Muscat à Petits Grains 30%"
"John Wine No Sulfites EKO","2565614","Frankrike","vin","Maison Cazes","14,50","106,00","0,75","","Maison Cazes","2018","Roussillon","AOP Côtes du Roussillon","Syrah 50%, Grenache 40%, Mourvèdre 10%"
"Le Canon du Maréchal rouge EKO","2533714","Frankrike","vin","Maison Cazes","13,50","91,90","0,75","","Maison Cazes","2015","Roussillon","IGP Côtes Catalanes","Syrah 50%, Grenache Noir 50%"
"Le Canon du Maréchal blanc EKO","2533614","Frankrike","vin","Maison Cazes","13,00","91,90","0,75","","Maison Cazes","2015","Roussillon","IGP Côtes Catalanes","Muscat d’Alexandrie 40%, Muscat à Petits Grains 40%, Viognier 20%"
"Plantation Single Cask XO Mackmyra Ambassador Cask","2728523","","sprit","Maison Ferrand","40,60","799,00","0,70","","Maison Ferrand","2017","","",""
"Bourgogne Chardonnay Signature","2571214","Frankrike","vin","Maison Champy","13,00","178,00","0,75","","Maison Champy","2018","Bourgogne","AOP Bourgogne","Chardonnay 100%"
"The Macallan Fine Oak 12 YO","2723023","Skottland","sprit","The Macallan Destillers","40,00","449,00","0,70","","The Macallan Destillers","2015","","",""
"Bianco del Borgo EKO","2570714","Italien","vin","Luigi d’Alessandro","12,50","126,00","0,75","","Luigi d’Alessandro","2018","Toscana","","Viognier 100%"
"Il Bosco Syrah","2504624","Italien","vin","Luigi d’Alessandro","14,00","278,00","0,75","","Luigi d’Alessandro","2013:2","Cortona","","Syrah 100%"
"Borgo Syrah Cortona DOC","2502114","Italien","vin","Luigi d’Alessandro","13,00","105,00","0,75","","Luigi d’Alessandro","2012","Toscana","","Syrah 100%"
"East London Premium Gin - Batch No.1","2724323","Storbritannien","sprit","East London Liquor Company","45,00","249,00","0,70","","East London Liquor Company","2016","","",""
"Le Colombier Vacqueyras Vieilles Vignes EKO","2518114","Frankrike","vin","Domaine le Colombier","14,50","133,00","0,75","","Domaine le Colombier","2013","Rhône","AOP Vacqueryas","Grenache 80%, Mourvèdre 20%"
"Prosecco Treviso Extra Dry DOC","2503910","Italien","vin","Le Contesse","11,00","28,90","0,20","","Le Contesse","2010","Veneto","","Glera 100%"
"Plantation Single Cask 16 YO Mackmyra Elegant","2728623","","sprit","Maison Ferrand","41,50","799,00","0,70","","Maison Ferrand","2017","","",""
"Prosecco Treviso Brut Doc EKO","2515114","Italien","vin","Le Contesse","11,00","88,90","0,75","","Le Contesse","2013","Veneto","","Glera 100%"
"Le Contesse Pinot Rosé Spumante Brut","2552414","Italien","vin","Le Contesse","11,00","83,90","0,75","","Le Contesse","2017","Valdobbiadene","","Pinot Nero 70%, Pinot Bianco 30%"
"Prosecco Treviso Extra Dry DOC","2503914","Italien","vin","Le Contesse","11,00","83,90","0,75","","Le Contesse","2010","Veneto","","Glera 100%"
"Domaine Laroche Chablis Saint Martin","2546811","Frankrike","vin","Domaine Laroche","12,50","88,90","0,38","","Domaine Laroche","2016","Bourgogne","AOC Chablis","Chardonnay 100%"
"Bourgogne Pinot Noir Signature","2571314","Frankrike","vin","Maison Champy","13,00","178,00","0,75","","Maison Champy","2018","Bourgogne","AOP Bourgogne","Pinot Noir 100%"
"L Chardonnay","2563050","Frankrike","vin","Laroche","13,00","251,00","3,00","","Laroche","2016","Languedoc","IGP Pays d´Oc","Chardonnay 100%"
"Banyuls Rimage Les Clos de Paulilles","2530922","Frankrike","vin","Maison Cazes","17,00","139,00","0,50","","Maison Cazes","2014","Roussillon","AOP Banyuls","Grenache Noir 100%"
"Mara Moura Godello","2561514","Spanien","vin","Martín Códax","13,00","106,00","0,75","","Martín Códax","2017","Galicien","DO Monterrei","Godello 92%, Treixadura 8%"
"Domaine Laroche Réserve de l’Obédience Chablis Grand Cru Les Blanchots","2547624","Frankrike","vin","Domaine Laroche","13,50","718,00","0,75","","Domaine Laroche","2016","Bourgogne","","Chardonnay 100%"
"Laroche Petit Chablis","2548114","Frankrike","vin","Domaine Laroche","12,00","136,00","0,75","","Domaine Laroche","2016","Bourgogne","AOC Petit Chablis","Chardonnay 100%"
"Laroche Bourgogne Réserve","2546914","Frankrike","vin","Domaine Laroche","12,50","123,00","0,75","","Domaine Laroche","2016","Bourgogne","AOC Bourgogne","Chardonnay 100%"
"Laroche Chablis Les Chanoines","2547114","Frankrike","vin","Domaine Laroche","12,50","164,00","0,75","","Domaine Laroche","2016","Bourgogne","AOC Chablis","Chardonnay 100%"
"Laphroaig 10 YO Malt Whisky","2721023","Skottland","sprit","Laphroaig","40,00","403,00","0,70","","Laphroaig","2014","","",""
"Larios Dry Gin","2714523","Spanien","sprit","Larios","37,50","224,00","0,70","","Larios","2010","","",""
"L Chardonnay","2547014","Frankrike","vin","Laroche","13,00","83,90","0,75","","Laroche","2016","Languedoc","IGP Pays d´Oc","Chardonnay 100%"
"L Chablis","2547214","Frankrike","vin","Domaine Laroche","12,50","146,00","0,75","","Domaine Laroche","2016","Bourgogne","AOC Chablis","Chardonnay"
"La Cappuccina Rosé Corvina EKO","2532214","Italien","vin","La Cappuccina","12,00","94,90","0,75","","La Cappuccina","2015","Veneto","","Corvina 100%"
"L´Ermitage Cuvée Auzan Blanc","2517814","Frankrike","vin","Château l’Ermitage","13,00","84,90","0,75","","Château l’Ermitage","2013","Rhône","AOP Costières de Nîmes","Roussanne 60%, Viognier 20%, Grenache Blanc 20%"
"La Cappuccina Soave DOC EKO","2532314","Italien","vin","La Cappuccina","12,00","87,90","0,75","","La Cappuccina","2015","Veneto","","Garganega 100%"
"L’Ermitage Cuvée Auzan Rosé","2543014","Frankrike","vin","Château l’Ermitage","12,00","85,90","0,75","","Château l’Ermitage","2016","Rhône","AOP Costières de Nîmes","Grenache Noir 50%, Syrah 25%, Mourvèdre 25%"
"Madègo Rosso Veneto IGT EKO","2533214","Italien","vin","La Cappuccina","13,00","94,90","0,75","","La Cappuccina","2018","Veneto","","Cabernet Sauvignon 80%, Merlot 10% , Carmenere 10%"
"Kuentz Bas Pinot Blanc MosaïK EKO","2517314","Frankrike","vin","Domaine Kuentz-Bas","13,00","105,00","0,75","","Domaine Kuentz-Bas","2013","Alsace","AOC Alsace","Pinot Blanc 100%"
"Kuentz Bas Gewürztraminer MosaïK","2418314","Frankrike","vin","Domaine Kuentz-Bas","13,00","131,00","0,75","","Domaine Kuentz-Bas","","Alsace","AOC Alsace","Gewürztraminer 100%"
"Pinot Gris MosaïK EKO","2565414","Frankrike","vin","Domaine Kuentz-Bas","13,00","130,00","0,75","","Domaine Kuentz-Bas","2018","Alsace","AOC Alsace","Pinot Gris 100%"
"L´Ermitage Cuvée Auzan Rouge","2517914","Frankrike","vin","Château l’Ermitage","14,00","84,90","0,75","","Château l’Ermitage","2013","Rhône","AOP Costières de Nîmes","Syrah 40%, Mourvèdre 40%, Grenache 20%"
"Auxerrois Trois Châteaux EKO","2538114","Frankrike","vin","Domaine Kuentz-Bas","13,00","122,00","0,75","","Domaine Kuentz-Bas","2015","Alsace","AOC Alsace","Auxerrois 100%"
"Kuentz Bas Riesling MosaïK EKO","2503614","Frankrike","vin","Domaine Kuentz-Bas","12,50","115,00","0,75","","Domaine Kuentz-Bas","2010","Alsace","AOC Alsace","Riesling 100%"
"Kuentz Bas Riesling MosaïK","2426114","Frankrike","vin","Domaine Kuentz-Bas","13,50","138,00","0,75","","Domaine Kuentz-Bas","","Alsace","AOC Alsace","Riesling 100%"
"Riesling Grand Cru Pfersigberg Trois Châteaux EKO","2543324","Frankrike","vin","Domaine Kuentz-Bas","13,00","233,00","0,75","","Domaine Kuentz-Bas","2016","Alsace","AOC Alsace Grand Cru","Riesling 100%"
"Kuentz Bas Pinot Gris Grand Cru Eichberg","2508224","Frankrike","vin","Domaine Kuentz-Bas","13,00","219,00","0,75","","Domaine Kuentz-Bas","2011","Alsace","AOC Alsace Grand Cru","Pinot Gris"
"Krušovice Imperial","2174511","Tjeckien","öl","Krušovice","5,00","18,60","0,33","","Krušovice","2013","","",""
"Krušovice Imperial","1165491","Tjeckien","öl","Krušovice","5,00","1538,95","30,00","","Krušovice","2013","","",""
"Kilbeggan Whiskey Blended","2721323","Irland","sprit","Kilbeggan","40,00","262,00","0,70","","Kilbeggan","2014","","",""
"Jägermeister","2724123","Tyskland","sprit","Jägermeister","35,00","253,00","0,70","","Jägermeister","2016","","",""
"Jägermeister","2724120","Tyskland","sprit","Jägermeister","35,00","15,58","0,04","","Jägermeister","2016","","",""
"Saint-Joseph ""Lautaret""","2525724","Frankrike","vin","Domaine Eric & Joël Durand","14,00","229,00","0,75","","Domaine Eric & Joël Durand","2014","Rhône","AOC Saint Joseph","Syrah 100%"
"Cornas ""Empreintes""","2525624","Frankrike","vin","Domaine Eric & Joël Durand","13,50","276,00","0,75","","Domaine Eric & Joël Durand","2014","Rhône","AOC Cornas","Syrah 100%"
"Jim Beam White Burbon","2720123","USA","sprit","Jim Beam","40,00","252,00","0,70","","Jim Beam","2013:2","","",""
"Vaccari Sambuca","2726522","Italien","sprit","Jim Beam","38,00","176,00","0,50","","Jim Beam","2017","","",""
"Kuentz Bas Pinot Gris Tradition","2430114","Frankrike","vin","Domaine Kuentz-Bas","13,00","123,00","0,75","","Domaine Kuentz-Bas","","Alsace","AOC Alsace","Pinot Gris 100%"
"Secret de Lunès Viognier EKO","2557714","Frankrike","vin","JeanJean","13,00","88,90","0,75","","JeanJean","2017","Languedoc","IGP Pays d´Oc","Viognier 100%"
"L'Audacieux rouge EKO","2577914","Frankrike","vin","JeanJean","14,00","110,00","0,75","","JeanJean","2018","Languedoc","AOP Languedoc","Syrah 50%, Grenache 50%"
"Art de France Rosé","2578014","Frankrike","vin","JeanJean","12,00","64,90","0,75","","JeanJean","2018","Languedoc","IGP Pays d´Oc","Grenache 55%, Cinsault 45%"
"Jim Beam Honey","2721123","USA","sprit","Jim Beam","35,00","246,00","0,70","","Jim Beam","2014","","",""
"La Méridionale Blanc","2578214","Frankrike","vin","JeanJean","12,50","64,90","0,75","","JeanJean","2018","Languedoc","IGP Pays d´Oc","Chardonnay 55% , Sauvignon Blanc 45%"
"Les Hauts de Castelmaure Corbières","2517014","Frankrike","vin","JeanJean","14,00","104,00","0,75","","JeanJean","2013","Languedoc","AOP Corbières","Grenache 40%, Syrah 40%, Carignan 20%,"
"Inwinectus Syrah Grenache EKO","2566014","Frankrike","vin","JeanJean","12,50","72,90","0,75","","JeanJean","2018","Languedoc","IGP Pays d´Oc","Syrah 60%, Grenache 40%"
"Secret de Lunès Pinot Noir EKO","2561114","Frankrike","vin","JeanJean","13,00","88,90","0,75","","JeanJean","2017","Languedoc","IGP Pays d´Oc","Pinot Noir 100%"
"Art De France Rouge","2540614","Frankrike","vin","JeanJean","13,00","62,90","0,75","","JeanJean","2018","Languedoc","IGP Pays d´Oc","Merlot 60%, Syrah 40%"
"Inwinectus Sauvignon Blanc EKO","2566114","Frankrike","vin","JeanJean","12,00","70,90","0,75","","JeanJean","2018","Languedoc","IGP Pays d´Oc","Sauvignon Blanc 100%"
"Terre de Loups St Chinian","2537614","Frankrike","vin","JeanJean","13,00","76,90","0,75","","JeanJean","2015","Languedoc","AOP Saint-Chinian","Carignan 30% , Syrah 30%, Mourvèdre 30%, Grenache 10%"
"La Croix St Pierre rosé","2534214","Frankrike","vin","JeanJean","12,00","64,90","0,75","","JeanJean","2014","Languedoc","IGP Pays d´Oc","Cinsault 60%, Grenache 40%"
"Art De France Blanc","2540514","Frankrike","vin","JeanJean","12,50","64,90","0,75","","JeanJean","2018","Languedoc","IGP Pays d´Oc","Chardonnay 65%, Sauvignon Blanc 35%"
"La Croix St Pierre rouge","2533814","Frankrike","vin","JeanJean","13,00","62,90","0,75","","JeanJean","2015","Languedoc","IGP Pays d´Oc","Merlot 60%, Syrah 40%"
"Ormarine Jardin de la Mer","2557614","Frankrike","vin","JeanJean","12,00","73,90","0,75","","JeanJean","2017","Languedoc","IGP Côtes de Thau","Grenache blanc 40 %, Sauvignon blanc 30%, Vermentino 15%, Colombard 15%"
"Garson Chardonnay Sauvignon Blanc","2517214","Frankrike","vin","JeanJean","12,50","60,90","0,75","","JeanJean","2013","Languedoc","IGP Pays d´Oc","Chardonnay 60%, Sauvignon Blanc 40%"
"Garson Merlot Syrah","2517114","Frankrike","vin","JeanJean","13,00","59,90","0,75","","JeanJean","2013","Languedoc","IGP Pays d´Oc","Merlot 60%, Syrah 40%"
"Rosso di Montepulciano DOC EKO","2552214","Italien","vin","Il Conventino","13,00","116,00","0,75","","Il Conventino","2016","Toscana","","Sangiovese 90%,  Canaiolo 5% och Mammolo 5%"
"Ormarine Picpoul de Pinet","2514714","Frankrike","vin","JeanJean","13,00","71,40","0,75","","JeanJean","2013","Languedoc","AOP Picpoul de Pinet","Picpoul (eller Piquepoul)"
"Höganäs Four Stroke","2124611","Sverige","öl","Höganäs","6,20","25,92","0,33","","Höganäs","2018","","",""
"Vino Nobile di Montepulciano DOCG EKO","2552114","Italien","vin","Il Conventino","13,50","172,00","0,75","","Il Conventino","2016","Toscana","","Sangiovese 85%, Colorino, Canaiolo, Mammolo 15%"
"Höganäs APA 5,6","2183911","Sverige","öl","Höganäs","5,60","24,94","0,33","","Höganäs","2016","","",""
"Dark Horse Cabernet Sauvignon","2542414","USA","vin","Dark Horse","13,50","85,90","0,75","","Dark Horse","2016","Kalifornien","","Cabernet Sauvignon 79%, Petite Sirah 6%, Rubired 6%, Petit Verdot 3%, Rubired 3%, övriga rödvinsdruvor 5%"
"Dark Horse Chardonnay","2542314","USA","vin","Dark Horse","13,50","85,90","0,75","","Dark Horse","2016","Kalifornien","","Chardonnay 90%, Viognier 5%, Gewürztraminer 3%, övriga vitvinsdruvor 2%"
"Dark Horse Zinfandel","2554514","USA","vin","Dark Horse","14,50","83,90","0,75","","Dark Horse","2016","Kalifornien","","Zinfandel 87%, Petite Sirah 6%, Petite Verdot 4%, ävriga rödvinsdruvor 3%"
"Dark Horse Sauvignon Blanc","2562614","USA","vin","Dark Horse","13,00","84,90","0,75","","Dark Horse","2017","Kalifornien","","Sauvignon Blanc 76%, Semillon 16%, Albarinho 3%, övrigt 5%"
"Heineken 5,0","1164739","Nederländerna","öl","Heineken","5,00","16,75","0,33","","Heineken","","","",""
"Höganäs Miss Behave 6,0","2190611","Sverige","öl","Höganäs","6,00","24,87","0,33","","Höganäs","2017","","",""
"Heineken 5,0","1152112","Nederländerna","öl","Heineken","5,00","23,75","0,50","","Heineken","","","",""
"Heineken 3,5","1147237","Nederländerna","öl","Heineken","3,50","10,03","0,33","","Heineken","","","",""
"Heineken 3,5","1158511","Nederländerna","öl","Heineken","3,50","11,08","0,33","","Heineken","","","",""
"Heineken 5,0","1145921","Nederländerna","öl","Heineken","5,00","15,52","0,33","","Heineken","","","",""
"Heineken 3,5","1143812","Nederländerna","öl","Heineken","3,50","16,46","0,50","","Heineken","","","",""
"Heineken 3,5","1147128","Nederländerna","öl","Heineken","3,50","14,86","0,50","","Heineken","","","",""
"Heineken 5,0","1101191","Nederländerna","öl","Heineken","5,00","1394,40","30,00","","Heineken","","","",""
"Hess Collection Napa Valley Chardonnay","2462114","USA","vin","Hess Collection","14,50","146,00","0,75","","Hess Collection","","Kalifornien","AVA Napa Valley","Chardonnay"
