"Name","Article_Number","Origin","Category","Brand","Alcohol","Price","Volume","PackagingType","Manufacturer","New_Year","Region","District","Grapes"
"Spring Village Merlot","2509841","USA","vin","Spring Village","12,50","71,90","0,75","","Spring Village","2012","Kalifornien","","Merlot 100%"
"Spring Village Chardonnay 10L","2548552","Italien","vin","Spring Village","12,50","658,90","10,00","","Spring Village","2016","Apulien","","Chardonnay 90%, Malvasia 10%"
"Ajan Barbera d´Asti DOC","2507414","Italien","vin","Villa Giada","13,00","135,00","0,75","","Villa Giada","2011","Piemonte","","Barbera 100%"
"Villa Giada Moscato d´Asti DOC","2505721","Italien","vin","Villa Giada","5,00","64,90","0,38","","Villa Giada","2011","Piemonte","","Moscato Bianco 100%"
"Sanpietro Monferrato Dolcetto DOC","2523314","Italien","vin","Villa Giada","12,50","89,40","0,75","","Villa Giada","2013:2","Piemonte","","Dolcetto 100%"
"Surì Barbera d’Asti DOCG","2492414","Italien","vin","Villa Giada","14,00","93,90","0,75","","Villa Giada","","Piemonte","","Barbera 100%"
"AP Vino Bianco","2573114","Italien","vin","Cantina Valpantena","13,00","62,90","0,75","","Cantina Valpantena","2018","","","Garganega 40%, Trebbiano 20%, Catarratto 30%, Sauvignon  Blanc 10%"
"Torre del Falasco Bardolino Chiaretto Rosé DOC","2576714","Italien","vin","Cantina Valpantena","12,50","65,90","0,75","","Cantina Valpantena","2018","Veneto","Bardolino Chiaretto DOC","Corvina 80%, Molinara 20%"
"Spring Village Chardonnay","2509941","USA","vin","Spring Village","12,50","70,50","0,75","","Spring Village","2012","Kalifornien","","Chardonnay 100%"
"Torre Del Falasco Amarone Della Valpolicella DOCG","2575414","Italien","vin","Cantina Valpantena","15,50","256,00","0,75","","Cantina Valpantena","","Veneto","","Corvina 75%, Corvinone 15%, Rondinella 10%"
"Torre del Falasco Apasio","2550314","Italien","vin","Cantina Valpantena","14,50","79,90","0,75","","Cantina Valpantena","2016","Veneto","","Corvina Veronese 75 %, Rondinella 15 %, Merlot 10%"
"Amarone Valpolicella DOCG Ninfeo EKO","2533124","Italien","vin","Cantina Valpantena","14,50","272,00","0,75","","Cantina Valpantena","2018","Veneto","","Corvina 70% , Corvinone 20%, Rondinella 10%"
"Pagus Bisano Ripasso DOC","2531814","Italien","vin","Cantina Valpantena","13,50","102,00","0,75","","Cantina Valpantena","2015","Veneto","","75% Corvina, 15% Rondinella & 10% Corvinone"
"AP Vino Rosso","2573414","Italien","vin","Cantina Valpantena","13,00","62,90","0,75","","Cantina Valpantena","2018","","","Corvina 40%, Rondinella 10%, Merlot 35%, Cabernet Sauvignon. 15%"
"Spring Village Merlot","2509843","USA","vin","Spring Village","13,00","119,00","1,50","","Spring Village","2012","Kalifornien","","Merlot 100%"
"Torre Del Falasco Valpolicella Ripasso Superiore DOC","2489214","Italien","vin","Cantina Valpantena","14,00","115,00","0,75","","Cantina Valpantena","","Veneto","","Corvina, Corvinone och Rondinella"
"Valpantena Amarone Della Valpolicella DOC","2486314","Italien","vin","Cantina Valpantena","15,00","189,00","0,75","","Cantina Valpantena","","Veneto","","Corvina 70%, Rondinella 25%, Cabernet Sauvignon 5%"
"Pergolino Rosso IGT","2456014","Italien","vin","Cantina Valpantena","12,00","57,90","0,75","","Cantina Valpantena","","Veneto","","Corvina, Rondinella och Negrara"
"Tesauro Recioto della Valpolicella DOC","2506022","Italien","vin","Cantina Valpantena","13,00","125,00","0,50","","Cantina Valpantena","2011","Veneto","","Corvina, Rondinella"
"Pergolino Bianco Igt","2455914","Italien","vin","Cantina Valpantena","12,00","57,90","0,75","","Cantina Valpantena","","Veneto","","Garganega, Trebbiano och Chardonnay"
"Torre Del Falasco Valpolicella Ripasso DOC","2454214","Italien","vin","Cantina Valpantena","13,50","103,00","0,75","","Cantina Valpantena","","Veneto","","Corvina 70% och Rondinella 30%"
"Valpolicella Valpantena Superiore DOC","2454114","Italien","vin","Cantina Valpantena","13,00","87,90","0,75","","Cantina Valpantena","","Veneto","","Corvina 70% och Rondinella 30%"
"Turning Leaf Zinfandel","2481114","USA","vin","Turning Leaf","13,50","69,40","0,75","","Turning Leaf","","Kalifornien","","Zinfandel 100%"
"Torre Del Falasco Valpolicella Ripasso Superiore DOC","2527326","Italien","vin","Cantina Valpantena","14,50","226,00","1,50","","Cantina Valpantena","","Veneto","","Corvina, Corvinone och Rondinella"
"Trapiche Sauvignon Blanc","2499910","Argentina","vin","Trapiche","13,00","21,90","0,19","","Trapiche","2010","Mendoza","","Sauvignon Blanc 100%"
"Trapiche Estación 1883 Bonarda","2532514","Argentina","vin","Trapiche","14,00","69,90","0,75","","Trapiche","2015","Mendoza","Santa Rosa","Bonarda 100%"
"Trapiche Estación 1883 Chardonnay","2528714","Argentina","vin","Trapiche","14,00","83,90","0,75","","Trapiche","2015","Mendoza","","Chardonnay 100%"
"Trapiche Estación 1883 Pinot Noir","2549114","Argentina","vin","Trapiche","14,00","94,90","0,75","","Trapiche","2016","Mendoza","Uco Valley","Pinot Noir 100%"
"Trapiche Malbec Oak Cask","2499514","Argentina","vin","Trapiche","13,50","78,90","0,75","","Trapiche","2010","Mendoza","","Malbec 100%"
"Trapiche Pinot Noir Oak Cask","2507814","Argentina","vin","Trapiche","13,50","79,90","0,75","","Trapiche","2013","Mendoza","","Pinot Noir"
"Alaris Merlot Malbec","2568714","Argentina","vin","Trapiche","13,00","59,90","0,75","","Trapiche","2018","Mendoza","","Merlot 50%, Malbec 50%"
"Alaris Chardonnay","2568614","Argentina","vin","Trapiche","13,00","59,90","0,75","","Trapiche","2018","Mendoza","","Chardonnay 100%"
"Turning Leaf Chardonnay","2480914","USA","vin","Turning Leaf","13,50","62,40","0,75","","Turning Leaf","","Kalifornien","","Chardonnay 100%"
"Astica Chardonnay","2498914","Argentina","vin","Trapiche","12,50","59,10","0,75","","Trapiche","2010","Mendoza","","Chardonnay 100%"
"Trapiche Terroir Malbec Finca Orellana","2551614","Argentina","vin","Trapiche","14,50","221,00","0,75","","Trapiche","2016","Mendoza","La Consulta","Malbec"
"Pure Malbec","2544614","Argentina","vin","Trapiche","13,50","94,90","0,75","","Trapiche","2016","Mendoza","Uco Valley","Malbec 100%"
"Trapiche Malbec Terroir Finca Ambrosia","2541124","Argentina","vin","Trapiche","14,50","215,00","0,75","","Trapiche","2014:2","Mendoza","","100% Malbec"
"Trapiche Perfiles","2570214","Argentina","vin","Trapiche","14,00","126,00","0,75","","Trapiche","2018","Mendoza","","Cabernet Sauvignon 100%"
"Trapiche Finca Las Palmas Cabernet Sauvignon","2522914","Argentina","vin","Trapiche","14,00","123,00","0,75","","Trapiche","2013:2","Mendoza","","Cabernet Sauvignon 100%"
"Trapiche Sauvignon Blanc","2499914","Argentina","vin","Trapiche","13,00","64,90","0,75","","Trapiche","2010","Mendoza","","Sauvignon Blanc 100%"
"Trapiche Malbec","2499814","Argentina","vin","Trapiche","12,50","64,90","0,75","","Trapiche","2010","Mendoza","","Malbec 100%"
"Trapiche Gran Medalla","2551214","Argentina","vin","Trapiche","14,50","160,00","0,75","","Trapiche","2016","","Uco Valley","Malbec 65%, Cabernet Sauvignon 27%, Cabernet Franc 8%"
"Trapiche Malbec","2499810","Argentina","vin","Trapiche","13,00","21,90","0,19","","Trapiche","2010","Mendoza","","Malbec 100%"
"Altos del Condor Chenin-Torrontés","2522814","Argentina","vin","Trapiche","13,00","56,90","0,75","","Trapiche","2013:2","Mendoza","","Chenin Blanc 75%, Torrontés 25%"
"Astica Merlot Malbec","2498714","Argentina","vin","Trapiche","12,50","59,10","0,75","","Trapiche","2010","Mendoza","","Merlot 50%, Malbec 50%"
"Hunting Trail Intense & Wild","2552550","Frankrike","vin","Hunting Trail","12,50","174,30","3,00","","Hunting Trail","2017","Vin de France","","Cabernet Sauvignon 70 %, Syrah, Merlot, Carignan 30%"
"Castiglioni Chianti DOCG","2495114","Italien","vin","I Classici Toscani","13,00","101,60","0,75","","I Classici Toscani","2009","Toscana","","Sangiovese 90%, Merlot 10%"
"Albizzia Chardonnay di Toscana IGT","2538314","Italien","vin","I Classici Toscani","12,00","89,90","0,75","","I Classici Toscani","2009","Toscana","","Chardonnay 100%"
"Pater Sangiovese di Toscana IGT","2494714","Italien","vin","I Classici Toscani","13,00","86,90","0,75","","I Classici Toscani","2009","Toscana","","Sangiovese 100%"
"Llebre","2526614","Spanien","vin","Tomàs Cusiné","13,50","93,90","0,75","","Tomàs Cusiné","2014","Katalonien","DO Costers del Segre","Tempranillo 60%, Garnacha 15%, Merlot 15%, Cariñena 10%"
"Auzells EKO","2517714","Spanien","vin","Tomàs Cusiné","12,50","102,00","0,75","","Tomàs Cusiné","2013","Katalonien","DO Costers del Segre","Macabeu 27%, Sauvignon blanc 25%, Chardonnay 15%, Riesling 12%, Albariño 10% och Müller thurgau 5%"
"Vilosell","2484114","Spanien","vin","Tomàs Cusiné","14,50","112,00","0,75","","Tomàs Cusiné","","Katalonien","DO Costers del Segre","Ull de Llebre(Tempranillo) 42%, Cabernet Sauvignon 21%, Merlot 16%, Syrah 13%, Cariñena 8%"
"Geol","2484024","Spanien","vin","Tomàs Cusiné","14,50","157,00","0,75","","Tomàs Cusiné","","Katalonien","DO Costers del Segre","Cariñena 36%, Merlot 34%, Cabernet Sauvignon 30%,"
"Turmhof Pinot Nero","2567414","Italien","vin","Tiefenbrunner","13,50","162,00","0,75","","Tiefenbrunner","2018","Alto Adige","","Pinot Nero 100%"
"Anna Weissburgunder","2567614","Italien","vin","Tiefenbrunner","13,50","151,00","0,75","","Tiefenbrunner","2018","Alto Adige","","Pinot Bianco 100%"
"Turmhof Lagrein","2567514","Italien","vin","Tiefenbrunner","13,50","157,00","0,75","","Tiefenbrunner","2018","Alto Adige","","Lagrein 100%"
"Epicuria","2557214","Frankrike","vin","Ambiance Rohne Terroirs","14,00","175,00","0,75","","Ambiance Rohne Terroirs","2017","Rhône","AOP Costières de Nîmes","Mourvèdre 100%"
"Sauza Tequila Silver","2709523","Mexiko","sprit","Sauza Tequila","38,00","234,00","0,70","","Sauza Tequila","","","",""
"Paxa Lazio Rosso IGT","2471814","Italien","vin","Tenute Santa Lucia","13,50","69,90","0,75","","Tenute Santa Lucia","","Lazio","","Sangiovese, Cabernet Sauvignon, Merlot"
"Tenuta Frescobaldi di Castiglioni Toscana IGT","2512524","Italien","vin","Tenuta di Castiglioni","13,00","157,00","0,75","","Tenuta di Castiglioni","2012","Toscana","","Cabernet Sauvignon 50%, Merlot 30%, Cabernet Franc 10% och Sangiovese 10%."
"Classic Merus Pinot Grigio","2567714","Italien","vin","Tiefenbrunner","13,00","118,00","0,75","","Tiefenbrunner","2018","Alto Adige","","Pinot Grigio 100%"
"Tahbilk Grenache Shiraz Mourvedre","2550914","Australien","vin","Tahbilk","14,00","101,00","0,75","","Tahbilk","2016","Central Victoria","Nagambie Lakes","Grenache 45% , Shiraz 40% Mourvedre 15%"
"Tahbilk The Tower Shiraz","2523814","Australien","vin","Tahbilk","13,50","59,90","0,75","","Tahbilk","2013:2","Central Victoria","Nagambie Lakes","Shiraz 100%"
"Tahbilk Roussanne Marsanne Viognier","2541014","Australien","vin","Tahbilk","13,00","59,90","0,75","","Tahbilk","2015","Central Victoria","Nagambie Lakes","Rousanne 46%, Marsanne 32%, Viognier 22%"
"Tahbilk Eric Stevens Purbrick Cabernet Sauvignon","2486124","Australien","vin","Tahbilk","14,00","302,00","0,75","","Tahbilk","","Central Victoria","Nagambie Lakes","Cabernet Sauvignon 100%"
"Tahbilk Shiraz","2429314","Australien","vin","Tahbilk","14,50","127,00","0,75","","Tahbilk","","Central Victoria","Nagambie Lakes","Shiraz 100%"
